loss,accuracy,val_loss,val_accuracy,lr
1.1899200677871704,0.33541667461395264,1.061083197593689,0.4541666805744171,0.001
1.1019575595855713,0.3786458373069763,1.0399457216262817,0.47083333134651184,0.001
1.0623281002044678,0.43802082538604736,1.028573751449585,0.4895833432674408,0.001
1.044993281364441,0.4505208432674408,1.0062294006347656,0.5,0.001
1.0330302715301514,0.4854166805744171,0.9943320751190186,0.5062500238418579,0.001
1.0080335140228271,0.5052083134651184,0.9761260151863098,0.5270833373069763,0.001
0.9927398562431335,0.5036458373069763,0.9674610495567322,0.5333333611488342,0.001
0.9897003769874573,0.5192708373069763,0.9603155255317688,0.5479166507720947,0.001
0.9785536527633667,0.5213541388511658,0.9626993536949158,0.550000011920929,0.001
0.970557451248169,0.5244791507720947,0.958298921585083,0.5625,0.001
0.9700973033905029,0.535937488079071,0.9537249207496643,0.550000011920929,0.001
0.9502308964729309,0.5458333492279053,0.9450494647026062,0.574999988079071,0.001
0.9460691213607788,0.5494791865348816,0.9523468613624573,0.5479166507720947,0.001
0.9606849551200867,0.5411458611488342,0.9520657658576965,0.5645833611488342,0.001
0.9337178468704224,0.5489583611488342,0.9485487341880798,0.5479166507720947,0.001
0.9225612282752991,0.5744791626930237,0.9410921931266785,0.5687500238418579,0.001
0.9130527377128601,0.5651041865348816,0.9374908208847046,0.5562499761581421,0.001
0.9038227796554565,0.565625011920929,0.9701153635978699,0.543749988079071,0.001
0.9206971526145935,0.5598958134651184,0.9348958134651184,0.550000011920929,0.001
0.8979728817939758,0.5901041626930237,0.9295225739479065,0.5541666746139526,0.001
0.880812406539917,0.6000000238418579,0.9431551098823547,0.5583333373069763,0.001
0.9069148302078247,0.5708333253860474,0.9323066473007202,0.581250011920929,0.001
0.8826276659965515,0.5885416865348816,0.9310836791992188,0.5666666626930237,0.001
0.882134735584259,0.589062511920929,0.93955397605896,0.5729166865348816,0.001
0.884654700756073,0.5880208611488342,0.9434317946434021,0.5645833611488342,0.001
0.8634538650512695,0.5932291746139526,0.9410656094551086,0.5562499761581421,0.001
0.8751212954521179,0.5921875238418579,0.9377390146255493,0.5645833611488342,0.001
0.8677052855491638,0.5973958373069763,0.9259270429611206,0.5729166865348816,0.0005
0.8537474274635315,0.614062488079071,0.9254098534584045,0.5770833492279053,0.0005
0.8450372815132141,0.6151041388511658,0.9312492609024048,0.5833333134651184,0.0005
0.8545420169830322,0.6052083373069763,0.939401388168335,0.5729166865348816,0.0005
0.8360072374343872,0.6187499761581421,0.9215074181556702,0.5666666626930237,0.0005
0.8499337434768677,0.6171875,0.9248508810997009,0.5791666507720947,0.0005
0.8301569819450378,0.6234375238418579,0.9286887645721436,0.581250011920929,0.0005
0.8376181125640869,0.6208333373069763,0.9328978061676025,0.5666666626930237,0.0005
0.8383666276931763,0.6135416626930237,0.9286163449287415,0.574999988079071,0.0005
0.8359607458114624,0.6223958134651184,0.9238057732582092,0.574999988079071,0.0005
0.8423280119895935,0.6119791865348816,0.9253188371658325,0.5604166388511658,0.0005
0.8251254558563232,0.6177083253860474,0.9329748749732971,0.5708333253860474,0.0005
0.8211031556129456,0.6354166865348816,0.9328715205192566,0.5625,0.00025
0.8218539953231812,0.6265624761581421,0.9384974241256714,0.5708333253860474,0.00025
0.7951900362968445,0.6395833492279053,0.9319296479225159,0.574999988079071,0.00025
0.7969750165939331,0.6385416388511658,0.9292691349983215,0.5791666507720947,0.00025
0.8151763677597046,0.6192708611488342,0.9375108480453491,0.581250011920929,0.00025
0.8109460473060608,0.6270833611488342,0.9301082491874695,0.5833333134651184,0.00025
0.847728967666626,0.6104166507720947,0.9410556554794312,0.5687500238418579,0.00025
0.8390626311302185,0.609375,0.9298980832099915,0.5666666626930237,0.000125
