iteration,C,train_accuracy,val_accuracy,train_loss,val_loss,improved
1,0.0001,0.6682291666666667,0.6104166666666667,1.0500319295919307,1.0604762984719753,True
2,0.00021544346900318845,0.6734375,0.6083333333333333,1.0079027708370958,1.027889672050604,True
3,0.00046415888336127773,0.6848958333333334,0.6083333333333333,0.9465222967796637,0.9816947188371216,True
4,0.001,0.6921875,0.6020833333333333,0.8755277835368142,0.9316706887518732,True
5,0.002154434690031882,0.6963541666666667,0.6041666666666666,0.811041212380768,0.8929757172918049,True
6,0.004641588833612777,0.7,0.59375,0.7639104256738811,0.8748867700237118,True
7,0.01,0.7015625,0.59375,0.7357441461702943,0.8763561371196142,False
8,0.021544346900318822,0.7026041666666667,0.5958333333333333,0.7220736041812453,0.8890271525235914,False
9,0.046415888336127774,0.6984375,0.59375,0.7167461564070708,0.903474213163913,False
10,0.1,0.7005208333333334,0.5916666666666667,0.7150578625324737,0.9143597549598936,False
11,0.21544346900318823,0.7020833333333333,0.5895833333333333,0.7146033174337402,0.9208999742437205,False
12,0.46415888336127775,0.7015625,0.5875,0.714492151077183,0.9243901701266373,False
