loss,accuracy,val_loss,val_accuracy
1.0965569019317627,0.3635416626930237,1.0768877267837524,0.4270833432674408
1.072812795639038,0.41354167461395264,1.0638099908828735,0.4166666567325592
1.055099606513977,0.44479167461395264,1.0411978960037231,0.4833333194255829
1.0263912677764893,0.4833333194255829,1.0311743021011353,0.4895833432674408
1.0237659215927124,0.4755208194255829,1.0104771852493286,0.4937500059604645
0.9989999532699585,0.5135416388511658,1.0201433897018433,0.4854166805744171
0.9937889575958252,0.5161458253860474,0.9993160367012024,0.5083333253860474
0.976405918598175,0.5177083611488342,0.9895381927490234,0.5104166865348816
0.9612118005752563,0.5364583134651184,0.9878326058387756,0.518750011920929
0.949563205242157,0.543749988079071,1.007570743560791,0.5
0.92466139793396,0.5614583492279053,0.9749794006347656,0.53125
0.9227442145347595,0.5708333253860474,0.9601646661758423,0.5458333492279053
0.9092103838920593,0.5901041626930237,0.9619238376617432,0.518750011920929
0.883600652217865,0.6041666865348816,0.9803604483604431,0.5083333253860474
0.8625564575195312,0.6114583611488342,0.9726371765136719,0.5333333611488342
0.8755503296852112,0.6072916388511658,0.9542602896690369,0.5333333611488342
0.8542705774307251,0.6177083253860474,0.9563379287719727,0.5645833611488342
0.8290244936943054,0.6348958611488342,0.9285439848899841,0.5520833134651184
0.8158094882965088,0.6385416388511658,0.9516953825950623,0.5520833134651184
0.7987464666366577,0.6578124761581421,0.9357912540435791,0.5666666626930237
0.786176860332489,0.6546875238418579,0.9503770470619202,0.5395833253860474
0.7781455516815186,0.6546875238418579,0.9312745332717896,0.5562499761581421
0.77913898229599,0.6703125238418579,0.9306966066360474,0.5520833134651184
0.7729433178901672,0.6588541865348816,0.9509900212287903,0.5625
0.75532066822052,0.6734374761581421,0.9367595911026001,0.5541666746139526
0.728236973285675,0.698437511920929,0.9502039551734924,0.5583333373069763
0.7343913912773132,0.6729166507720947,0.9623043537139893,0.5458333492279053
0.7313335537910461,0.6890624761581421,0.9542523622512817,0.5666666626930237
0.7101051211357117,0.7005208134651184,0.9405733942985535,0.5708333253860474
0.7117299437522888,0.7005208134651184,0.9359073042869568,0.5645833611488342
0.7052146792411804,0.6963541507720947,0.9245748519897461,0.5708333253860474
0.684108555316925,0.7166666388511658,0.9341211318969727,0.574999988079071
0.6602952480316162,0.7166666388511658,0.9502230286598206,0.5520833134651184
0.6658963561058044,0.714062511920929,0.9770228266716003,0.5645833611488342
0.6482828855514526,0.7213541865348816,0.9552851319313049,0.5687500238418579
0.6328738927841187,0.7354166507720947,0.9353402853012085,0.5874999761581421
0.6212071776390076,0.7557291388511658,0.9389938116073608,0.581250011920929
0.6384531259536743,0.7328125238418579,0.9717174172401428,0.5666666626930237
0.6313901543617249,0.7333333492279053,0.9436306357383728,0.5874999761581421
0.6262565851211548,0.7458333373069763,0.933537483215332,0.5833333134651184
0.6067232489585876,0.7437499761581421,0.9557777643203735,0.581250011920929
0.5976918339729309,0.7541666626930237,0.9534153342247009,0.5770833492279053
0.6027271747589111,0.7421875,0.9657143354415894,0.5562499761581421
0.5860636234283447,0.7661458253860474,0.9643256068229675,0.5583333373069763
0.576519250869751,0.7562500238418579,1.0013254880905151,0.5520833134651184
0.5736767649650574,0.7614583373069763,0.9588910341262817,0.5854166746139526
