,Pred_GR,Pred_SD,Pred_GI
True_GR,0.794,0.062,0.144
True_SD,0.09730848861283643,0.7639751552795031,0.13871635610766045
True_GI,0.1702127659574468,0.15087040618955513,0.6789168278529981
