0.11,-0.755,10.617,0.331,0.938,-0.609,218.604,210.4632,3.7553,3
0.053,0.56,12.021,-0.642,6.642,-1.02,207.6765,199.5333,3.9567,2
0.388,-0.564,8.685,7.698,-10.108,-0.727,200.0816,191.9301,4.1088,3
-1.569,0.727,10.323,0.343,3.237,5.933,182.4887,174.3938,4.5241,2
-0.258,2.348,8.96,-5.496,2.351,-0.856,175.0236,167.0324,4.7403,2
1.084,-0.194,8.651,-0.837,-3.278,-1.833,166.4946,158.5295,4.9941,1
-0.124,0.455,9.908,-3.802,1.933,-0.124,166.0279,158.0446,5.0052,3
0.071,1.608,10.931,-1.514,0.548,-0.784,150.5725,142.5558,5.527,1
0.394,-0.626,8.766,-0.113,2.461,-0.414,136.5795,128.6289,6.126,2
-0.278,-0.312,8.796,-1.85,1.234,-0.241,119.9927,112.0743,7.0117,1
2.321,-1.947,8.671,2.216,-4.755,-0.531,108.3949,100.6023,7.8259,1
1.439,-0.436,10.142,-4.897,2.944,0.514,114.1195,106.3869,7.4333,2
-0.636,-0.556,10.88,-0.53,-3.78,0.305,104.2625,96.5205,8.1628,2
-0.058,-1.306,10.504,2.176,-0.432,-0.386,87.4047,79.8312,9.8687,3
0.247,-0.249,9.364,-4.483,3.007,-0.722,78.0934,70.4943,11.1035,3
1.31,0.138,8.346,1.871,1.962,-0.734,68.2861,60.9801,12.9086,2
-0.656,-0.554,11.018,1.531,-0.658,-0.657,53.0897,46.3041,17.1182,3
0.673,-0.236,10.146,-2.327,2.74,-1.073,49.2231,42.6396,18.6536,3
0.666,0.961,9.982,0.963,-1.5,-1.144,49.2661,42.2505,18.4783,1
0.483,1.212,10.174,-0.315,-2.142,-3.483,39.8414,33.6378,23.6633,3
1.891,1.269,9.768,-2.757,0.079,-0.137,217.9393,209.7602,3.7614,3
0.0822,0.5565,12.021,-0.642,6.642,-1.02,207.6765,199.5333,3.9567,2
0.358,-0.5835,8.685,7.698,-10.108,-0.727,200.0816,191.9301,4.1088,3
-1.5288,0.8081,10.323,0.343,3.237,5.933,182.4887,174.3938,4.5241,2
-0.1348,2.3583,8.96,-5.496,2.351,-0.856,175.0236,167.0324,4.7403,2
1.0724,-0.2505,8.651,-0.837,-3.278,-1.833,166.4946,158.5295,4.9941,1
-0.1,0.4609,9.908,-3.802,1.933,-0.124,166.0279,158.0446,5.0052,3
0.1551,1.6021,10.931,-1.514,0.548,-0.784,150.5725,142.5558,5.527,1
0.3607,-0.6458,8.766,-0.113,2.461,-0.414,136.5795,128.6289,6.126,2
-0.2939,-0.297,8.796,-1.85,1.234,-0.241,119.9927,112.0743,7.0117,1
2.2159,-2.0658,8.671,2.216,-4.755,-0.531,108.3949,100.6023,7.8259,1
1.4142,-0.5107,10.142,-4.897,2.944,0.514,114.1195,106.3869,7.4333,2
-0.6642,-0.522,10.88,-0.53,-3.78,0.305,104.2625,96.5205,8.1628,2
-0.1263,-1.3012,10.504,2.176,-0.432,-0.386,87.4047,79.8312,9.8687,3
