loss,accuracy,val_loss,val_accuracy,lr
1.1181721687316895,0.4130208194255829,0.8886716961860657,0.6041666865348816,0.001
0.77064049243927,0.6307291388511658,0.639506995677948,0.7166666388511658,0.001
0.6621860861778259,0.6973958611488342,0.6060587763786316,0.7354166507720947,0.001
0.6191409230232239,0.7098958492279053,0.584088921546936,0.7354166507720947,0.001
0.6154167056083679,0.715624988079071,0.5796456933021545,0.731249988079071,0.001
0.5836024880409241,0.7333333492279053,0.5709558725357056,0.7395833134651184,0.001
0.5579822659492493,0.7510416507720947,0.5657764077186584,0.7270833253860474,0.001
0.5393973588943481,0.7588541507720947,0.5773056149482727,0.7416666746139526,0.001
0.5119745135307312,0.7682291865348816,0.5965009331703186,0.7104166746139526,0.001
0.5045738220214844,0.7791666388511658,0.5935694575309753,0.7458333373069763,0.001
0.4736676514148712,0.7963541746139526,0.5664189457893372,0.7291666865348816,0.001
0.44144636392593384,0.8187500238418579,0.5539395809173584,0.7666666507720947,0.001
0.44265782833099365,0.8031250238418579,0.5959921479225159,0.75,0.001
0.4170936346054077,0.8218749761581421,0.6455238461494446,0.7250000238418579,0.001
0.39817366003990173,0.8364583253860474,0.5610305070877075,0.7666666507720947,0.001
0.38456088304519653,0.840624988079071,0.5897830724716187,0.762499988079071,0.001
0.3509936034679413,0.8541666865348816,0.6204778552055359,0.737500011920929,0.001
0.3318973481655121,0.859375,0.6358593106269836,0.7729166746139526,0.001
0.31600436568260193,0.8786458373069763,0.684066116809845,0.7270833253860474,0.001
0.2751595079898834,0.890625,0.6657702922821045,0.7541666626930237,0.0005
0.25883662700653076,0.9005208611488342,0.6903685927391052,0.7749999761581421,0.0005
0.24367961287498474,0.9119791388511658,0.6920319199562073,0.7583333253860474,0.0005
0.23070122301578522,0.9104166626930237,0.7212546467781067,0.768750011920929,0.0005
0.21895432472229004,0.9182291626930237,0.7616991400718689,0.7645833492279053,0.0005
0.21926014125347137,0.9177083373069763,0.7631011605262756,0.7583333253860474,0.0005
0.20090964436531067,0.9270833134651184,0.7843466401100159,0.7583333253860474,0.0005
0.16953569650650024,0.9427083134651184,0.7941746115684509,0.768750011920929,0.00025
