loss,accuracy,val_loss,val_accuracy,lr
0.8452377319335938,0.5822916626930237,0.6248910427093506,0.7104166746139526,0.001
0.6209895610809326,0.6979166865348816,0.5751552581787109,0.7208333611488342,0.001
0.5711601972579956,0.7369791865348816,0.5279949903488159,0.7333333492279053,0.001
0.5311505794525146,0.7588541507720947,0.5321387052536011,0.737500011920929,0.001
0.511709988117218,0.7749999761581421,0.51153165102005,0.7666666507720947,0.001
0.4842129349708557,0.7828124761581421,0.5243518352508545,0.7416666746139526,0.001
0.4627353549003601,0.8067708611488342,0.496742308139801,0.768750011920929,0.001
0.4447486102581024,0.8151041865348816,0.47884783148765564,0.7833333611488342,0.001
0.4387109577655792,0.8166666626930237,0.47975024580955505,0.7791666388511658,0.001
0.4078691899776459,0.8291666507720947,0.4845151901245117,0.7854166626930237,0.001
0.4105759561061859,0.8343750238418579,0.4892122447490692,0.7770833373069763,0.001
0.39335665106773376,0.8447916507720947,0.47409680485725403,0.78125,0.001
0.37623533606529236,0.8421875238418579,0.5012869834899902,0.7875000238418579,0.001
0.3692149221897125,0.8557291626930237,0.48718926310539246,0.7875000238418579,0.001
0.35885488986968994,0.8536458611488342,0.502821683883667,0.7833333611488342,0.001
0.34867653250694275,0.864062488079071,0.4769588112831116,0.7854166626930237,0.001
0.34628087282180786,0.8604166507720947,0.4899953305721283,0.7916666865348816,0.001
0.3260765075683594,0.870312511920929,0.5131462216377258,0.7895833253860474,0.001
0.32384952902793884,0.8791666626930237,0.5176249742507935,0.7791666388511658,0.001
0.2900411784648895,0.8880208134651184,0.5253880023956299,0.7854166626930237,0.0005
0.2736380994319916,0.8947916626930237,0.5168079733848572,0.7875000238418579,0.0005
0.28735268115997314,0.8833333253860474,0.49769431352615356,0.7979166507720947,0.0005
0.2903633713722229,0.8890625238418579,0.5110076665878296,0.793749988079071,0.0005
0.29247984290122986,0.887499988079071,0.5187228322029114,0.7875000238418579,0.0005
0.27325400710105896,0.8973958492279053,0.5068594217300415,0.7916666865348816,0.0005
0.2596750855445862,0.8984375,0.5265785455703735,0.7875000238418579,0.0005
0.24870963394641876,0.9057291746139526,0.5327848792076111,0.7895833253860474,0.00025
